"Experiment","FDR","peptide_ids"
"TimsOff",0,0
"TimsOn",0,0
"IMwin",0,0
"IMwin_IMscored",0,0
"TimsOff",0.001,5871
"TimsOn",0.001,8360
"IMwin",0.001,10036
"IMwin_IMscored",0.001,11591
"TimsOff",0.002,7354
"TimsOn",0.002,10074
"IMwin",0.002,13062
"IMwin_IMscored",0.002,13813
"TimsOff",0.003,7935
"TimsOn",0.003,11072
"IMwin",0.003,14251
"IMwin_IMscored",0.003,15139
"TimsOff",0.004,8533
"TimsOn",0.004,11709
"IMwin",0.004,15233
"IMwin_IMscored",0.004,15864
"TimsOff",0.005,8971
"TimsOn",0.005,12400
"IMwin",0.005,16017
"IMwin_IMscored",0.005,16350
"TimsOff",0.006,9418
"TimsOn",0.006,12780
"IMwin",0.006,16413
"IMwin_IMscored",0.006,16926
"TimsOff",0.007,9769
"TimsOn",0.007,13108
"IMwin",0.007,16853
"IMwin_IMscored",0.007,17338
"TimsOff",0.008,10207
"TimsOn",0.008,13420
"IMwin",0.008,17133
"IMwin_IMscored",0.008,17583
"TimsOff",0.009,10368
"TimsOn",0.009,13710
"IMwin",0.009,17537
"IMwin_IMscored",0.009,17878
"TimsOff",0.01,10623
"TimsOn",0.01,13978
"IMwin",0.01,17761
"IMwin_IMscored",0.01,18166
"TimsOff",0.011,10823
"TimsOn",0.011,14221
"IMwin",0.011,18014
"IMwin_IMscored",0.011,18380
"TimsOff",0.012,11030
"TimsOn",0.012,14352
"IMwin",0.012,18171
"IMwin_IMscored",0.012,18565
"TimsOff",0.013,11239
"TimsOn",0.013,14495
"IMwin",0.013,18301
"IMwin_IMscored",0.013,18782
"TimsOff",0.014,11460
"TimsOn",0.014,14603
"IMwin",0.014,18487
"IMwin_IMscored",0.014,18983
"TimsOff",0.015,11591
"TimsOn",0.015,14739
"IMwin",0.015,18696
"IMwin_IMscored",0.015,19134
"TimsOff",0.016,11818
"TimsOn",0.016,14891
"IMwin",0.016,18824
"IMwin_IMscored",0.016,19260
"TimsOff",0.017,11980
"TimsOn",0.017,15059
"IMwin",0.017,18989
"IMwin_IMscored",0.017,19390
"TimsOff",0.018,12169
"TimsOn",0.018,15198
"IMwin",0.018,19125
"IMwin_IMscored",0.018,19490
"TimsOff",0.019,12264
"TimsOn",0.019,15311
"IMwin",0.019,19199
"IMwin_IMscored",0.019,19644
"TimsOff",0.02,12333
"TimsOn",0.02,15443
"IMwin",0.02,19299
"IMwin_IMscored",0.02,19776
"TimsOff",0.021,12460
"TimsOn",0.021,15543
"IMwin",0.021,19393
"IMwin_IMscored",0.021,19882
"TimsOff",0.022,12582
"TimsOn",0.022,15627
"IMwin",0.022,19511
"IMwin_IMscored",0.022,20005
"TimsOff",0.023,12713
"TimsOn",0.023,15732
"IMwin",0.023,19617
"IMwin_IMscored",0.023,20124
"TimsOff",0.024,12801
"TimsOn",0.024,15831
"IMwin",0.024,19731
"IMwin_IMscored",0.024,20231
"TimsOff",0.025,12908
"TimsOn",0.025,15948
"IMwin",0.025,19833
"IMwin_IMscored",0.025,20352
"TimsOff",0.026,13001
"TimsOn",0.026,16046
"IMwin",0.026,19954
"IMwin_IMscored",0.026,20437
"TimsOff",0.027,13067
"TimsOn",0.027,16154
"IMwin",0.027,20024
"IMwin_IMscored",0.027,20538
"TimsOff",0.028,13180
"TimsOn",0.028,16229
"IMwin",0.028,20134
"IMwin_IMscored",0.028,20622
"TimsOff",0.029,13286
"TimsOn",0.029,16307
"IMwin",0.029,20237
"IMwin_IMscored",0.029,20720
"TimsOff",0.03,13366
"TimsOn",0.03,16396
"IMwin",0.03,20323
"IMwin_IMscored",0.03,20814
"TimsOff",0.031,13422
"TimsOn",0.031,16459
"IMwin",0.031,20403
"IMwin_IMscored",0.031,20907
"TimsOff",0.032,13493
"TimsOn",0.032,16545
"IMwin",0.032,20487
"IMwin_IMscored",0.032,20959
"TimsOff",0.033,13526
"TimsOn",0.033,16588
"IMwin",0.033,20561
"IMwin_IMscored",0.033,21044
"TimsOff",0.034,13577
"TimsOn",0.034,16662
"IMwin",0.034,20650
"IMwin_IMscored",0.034,21121
"TimsOff",0.035,13648
"TimsOn",0.035,16718
"IMwin",0.035,20730
"IMwin_IMscored",0.035,21204
"TimsOff",0.036,13762
"TimsOn",0.036,16785
"IMwin",0.036,20813
"IMwin_IMscored",0.036,21279
"TimsOff",0.037,13828
"TimsOn",0.037,16854
"IMwin",0.037,20878
"IMwin_IMscored",0.037,21335
"TimsOff",0.038,13928
"TimsOn",0.038,16918
"IMwin",0.038,20954
"IMwin_IMscored",0.038,21407
"TimsOff",0.039,13983
"TimsOn",0.039,16994
"IMwin",0.039,21010
"IMwin_IMscored",0.039,21475
"TimsOff",0.04,14043
"TimsOn",0.04,17056
"IMwin",0.04,21071
"IMwin_IMscored",0.04,21527
"TimsOff",0.041,14101
"TimsOn",0.041,17105
"IMwin",0.041,21138
"IMwin_IMscored",0.041,21596
"TimsOff",0.042,14172
"TimsOn",0.042,17173
"IMwin",0.042,21204
"IMwin_IMscored",0.042,21662
"TimsOff",0.043,14221
